a,a_over_Lambda,a_minus_half
26769603293,0.99994243,13384031093
26769603667,0.99994245,13384031467
26769603689,0.99994245,13384031489
26769605587,0.99994252,13384033387
26769606703,0.99994256,13384034503
26769610003,0.99994268,13384037803
26769613219,0.99994280,13384041019
26769618607,0.99994301,13384046407
26769624067,0.99994321,13384051867
26769644747,0.99994398,13384072547
26769653723,0.99994432,13384081523
26769736163,0.99994740,13384163963
26769966247,0.99995599,13384394047
26770053647,0.99995926,13384481447
26770053689,0.99995926,13384481489
26770055053,0.99995931,13384482853
26770074449,0.99996003,13384502249
26770075529,0.99996007,13384503329
26770077349,0.99996014,13384505149
26770079267,0.99996021,13384507067
26770081697,0.99996030,13384509497
26770081717,0.99996030,13384509517
26770082347,0.99996033,13384510147
26770084877,0.99996042,13384512677
26770087997,0.99996054,13384515797
26770089649,0.99996060,13384517449
26770141919,0.99996255,13384569719
26770148069,0.99996278,13384575869
26770149179,0.99996282,13384576979
26770151027,0.99996289,13384578827
26770156073,0.99996308,13384583873
26770158557,0.99996318,13384586357
26770159963,0.99996323,13384587763
26770163977,0.99996338,13384591777
26770164539,0.99996340,13384592339
26770165837,0.99996345,13384593637
26770170083,0.99996361,13384597883
26770171403,0.99996366,13384599203
26770171933,0.99996367,13384599733
26770175429,0.99996381,13384603229
26770181693,0.99996404,13384609493
26770182119,0.99996406,13384609919
26770183987,0.99996413,13384611787
26770185157,0.99996417,13384612957
26770187263,0.99996425,13384615063
26770193837,0.99996449,13384621637
26770196867,0.99996461,13384624667
26770198457,0.99996467,13384626257
26770198487,0.99996467,13384626287
26770199257,0.99996470,13384627057
26770201823,0.99996479,13384629623
26770207007,0.99996498,13384634807
26770549693,0.99997779,13384977493
26770639477,0.99998114,13385067277
26770667701,0.99998219,13385095501
26770669967,0.99998228,13385097767
26770683337,0.99998278,13385111137
26770698083,0.99998333,13385125883
26770700039,0.99998340,13385127839
26770702909,0.99998351,13385130709
26770706707,0.99998365,13385134507
26770707617,0.99998368,13385135417
26770712149,0.99998385,13385139949
26770713241,0.99998389,13385141041
26770713329,0.99998390,13385141129
26770718297,0.99998408,13385146097
26770720013,0.99998415,13385147813
26770722791,0.99998425,13385150591
26770726529,0.99998439,13385154329
26770730227,0.99998453,13385158027
26770738079,0.99998482,13385165879
26770739267,0.99998487,13385167067
26770747877,0.99998519,13385175677
26770748659,0.99998522,13385176459
26770748789,0.99998522,13385176589
26770753853,0.99998541,13385181653
26770756421,0.99998551,13385184221
26770756867,0.99998552,13385184667
26770756979,0.99998553,13385184779
26770757513,0.99998555,13385185313
26770757989,0.99998557,13385185789
26770758577,0.99998559,13385186377
26770759553,0.99998562,13385187353
26770760941,0.99998568,13385188741
26770761907,0.99998571,13385189707
26770762111,0.99998572,13385189911
26770763333,0.99998577,13385191133
26770767047,0.99998590,13385194847
26770767691,0.99998593,13385195491
26770771567,0.99998607,13385199367
26770771579,0.99998607,13385199379
26770772591,0.99998611,13385200391
26770772921,0.99998612,13385200721
26770833139,0.99998837,13385260939
26770843049,0.99998874,13385270849
26770854827,0.99998918,13385282627
26770857247,0.99998927,13385285047
26770859359,0.99998935,13385287159
26770866557,0.99998962,13385294357
26770867127,0.99998964,13385294927
26770874057,0.99998990,13385301857
26770875587,0.99998996,13385303387
26770881139,0.99999017,13385308939
26770881979,0.99999020,13385309779
26770882949,0.99999023,13385310749
26770884269,0.99999028,13385312069
26770886683,0.99999037,13385314483
26770887137,0.99999039,13385314937
26770887397,0.99999040,13385315197
26770888447,0.99999044,13385316247
26770893053,0.99999061,13385320853
26770896617,0.99999074,13385324417
26770897927,0.99999079,13385325727
26770898057,0.99999080,13385325857
26770898417,0.99999081,13385326217
26770899919,0.99999087,13385327719
26770901459,0.99999093,13385329259
26770901587,0.99999093,13385329387
26770901809,0.99999094,13385329609
26770901959,0.99999094,13385329759
26770902199,0.99999095,13385329999
26770902503,0.99999096,13385330303
26770906333,0.99999111,13385334133
26770906969,0.99999113,13385334769
26770908829,0.99999120,13385336629
26770910267,0.99999125,13385338067
26770910489,0.99999126,13385338289
26770913443,0.99999137,13385341243
26770913833,0.99999139,13385341633
26770913861,0.99999139,13385341661
26770916017,0.99999147,13385343817
26770916911,0.99999150,13385344711
26770918157,0.99999155,13385345957
26770918297,0.99999155,13385346097
26770920131,0.99999162,13385347931
26770922279,0.99999170,13385350079
26770922753,0.99999172,13385350553
26770922903,0.99999173,13385350703
26770923019,0.99999173,13385350819
26770923929,0.99999176,13385351729
26770924391,0.99999178,13385352191
26770924487,0.99999179,13385352287
26770924547,0.99999179,13385352347
26770925891,0.99999184,13385353691
26770929217,0.99999196,13385357017
26770931323,0.99999204,13385359123
26770931393,0.99999204,13385359193
26770933489,0.99999212,13385361289
26770934269,0.99999215,13385362069
26770934599,0.99999216,13385362399
26770935377,0.99999219,13385363177
26770935493,0.99999220,13385363293
26770938419,0.99999231,13385366219
26770938749,0.99999232,13385366549
26770940267,0.99999237,13385368067
26770941121,0.99999241,13385368921
26770941191,0.99999241,13385368991
26770942313,0.99999245,13385370113
26770942769,0.99999247,13385370569
26770944049,0.99999252,13385371849
26770944061,0.99999252,13385371861
26770944953,0.99999255,13385372753
26770945987,0.99999259,13385373787
26770947583,0.99999265,13385375383
26770948199,0.99999267,13385375999
26770948273,0.99999267,13385376073
26770948553,0.99999268,13385376353
26770948709,0.99999269,13385376509
26770948973,0.99999270,13385376773
26770949039,0.99999270,13385376839
26770949047,0.99999270,13385376847
26770949449,0.99999272,13385377249
26770949809,0.99999273,13385377609
26770950109,0.99999274,13385377909
26770950361,0.99999275,13385378161
26770950707,0.99999276,13385378507
26770950839,0.99999277,13385378639
26770952753,0.99999284,13385380553
26770952807,0.99999284,13385380607
26770953037,0.99999285,13385380837
26770954937,0.99999292,13385382737
26770954997,0.99999293,13385382797
26770955039,0.99999293,13385382839
26770955499,0.99999294,13385383299
26770958003,0.99999304,13385385803
26770958633,0.99999306,13385386433
26770960609,0.99999313,13385388409
26770962047,0.99999319,13385389847
26770963111,0.99999323,13385390911
26770965047,0.99999330,13385392847
26770965839,0.99999333,13385393639
26770966487,0.99999335,13385394287
26770967722,0.99999340,13385395522
26770967929,0.99999341,13385395729
26770968953,0.99999345,13385396753
26770969539,0.99999347,13385397339
26770969801,0.99999348,13385397601
26770971053,0.99999352,13385398853
26770971257,0.99999353,13385399057
26770971397,0.99999354,13385399197
26770971649,0.99999355,13385399449
26770971737,0.99999355,13385399537
26770971947,0.99999356,13385399747
26770975237,0.99999368,13385403037
26770976567,0.99999373,13385404367
26770976987,0.99999375,13385404787
26770977503,0.99999377,13385405303
26770977617,0.99999377,13385405417
26770978709,0.99999381,13385406509
26770979281,0.99999383,13385407081
26770982787,0.99999396,13385410587
26770983977,0.99999401,13385411777
26770984087,0.99999401,13385411887
26770985543,0.99999407,13385413343
26770986857,0.99999412,13385414657
26770987387,0.99999413,13385415187
26770987421,0.99999414,13385415221
26770987534,0.99999414,13385415334
26770987687,0.99999415,13385415487
26770987699,0.99999415,13385415499
26770987967,0.99999416,13385415767
26770988749,0.99999419,13385416549
26770989457,0.99999421,13385417257
26770989527,0.99999421,13385417327
26770989767,0.99999422,13385417567
26770991561,0.99999429,13385419361
26770991899,0.99999430,13385419699
26770993229,0.99999435,13385421029
26770993757,0.99999437,13385421557
26770996157,0.99999446,13385423957
26770996247,0.99999447,13385424047
26770997159,0.99999450,13385424959
26770997917,0.99999453,13385425717
26770998601,0.99999455,13385426401
26770998949,0.99999457,13385426749
26770999391,0.99999458,13385427191
26770999397,0.99999458,13385427197
26770999807,0.99999460,13385427607
26770999817,0.99999460,13385427617
26770999877,0.99999460,13385427677
26771000231,0.99999461,13385428031
26771000237,0.99999461,13385428037
26771000339,0.99999462,13385428139
26771000357,0.99999462,13385428157
26771001377,0.99999466,13385429177
26771001427,0.99999466,13385429227
26771001623,0.99999467,13385429423
26771002589,0.99999470,13385430389
26771003569,0.99999474,13385431369
26771004017,0.99999476,13385431817
26771004187,0.99999476,13385431987
26771006237,0.99999484,13385434037
26771006719,0.99999486,13385434519
26771007881,0.99999490,13385435681
26771007973,0.99999490,13385435773
26771008049,0.99999491,13385435849
26771008813,0.99999494,13385436613
26771009141,0.99999495,13385436941
26771009149,0.99999495,13385436949
26771009293,0.99999495,13385437093
26771011357,0.99999503,13385439157
26771012689,0.99999508,13385440489
26771013367,0.99999511,13385441167
26771014271,0.99999514,13385442071
26771014531,0.99999515,13385442331
26771015057,0.99999517,13385442857
26771015083,0.99999517,13385442883
26771016007,0.99999520,13385443807
26771016157,0.99999521,13385443957
26771016659,0.99999523,13385444459
26771016661,0.99999523,13385444461
26771016757,0.99999523,13385444557
26771016887,0.99999524,13385444687
26771017267,0.99999525,13385445067
26771017407,0.99999526,13385445207
26771018269,0.99999529,13385446069
26771018933,0.99999531,13385446733
26771018977,0.99999531,13385446777
26771019617,0.99999534,13385447417
26771020891,0.99999539,13385448691
26771021887,0.99999542,13385449687
26771022673,0.99999545,13385450473
26771022797,0.99999546,13385450597
26771023519,0.99999548,13385451319
26771023621,0.99999549,13385451421
26771024623,0.99999553,13385452423
26771025527,0.99999556,13385453327
26771025899,0.99999557,13385453699
26771025929,0.99999557,13385453729
26771026627,0.99999560,13385454427
26771028649,0.99999568,13385456449
26771029517,0.99999571,13385457317
26771029733,0.99999572,13385457533
26771029823,0.99999572,13385457623
26771030393,0.99999574,13385458193
26771030409,0.99999574,13385458209
26771030433,0.99999574,13385458233
26771030639,0.99999575,13385458439
26771031007,0.99999576,13385458807
26771031431,0.99999578,13385459231
26771031641,0.99999579,13385459441
26771032273,0.99999581,13385460073
26771032709,0.99999583,13385460509
26771032721,0.99999583,13385460521
26771032763,0.99999583,13385460563
26771032767,0.99999583,13385460567
26771032903,0.99999584,13385460703
26771034907,0.99999591,13385462707
26771035469,0.99999593,13385463269
26771036657,0.99999598,13385464457
26771036867,0.99999598,13385464667
26771037301,0.99999600,13385465101
26771037399,0.99999600,13385465199
26771038289,0.99999604,13385466089
26771038309,0.99999604,13385466109
26771039417,0.99999608,13385467217
26771040053,0.99999610,13385467853
26771040089,0.99999610,13385467889
26771040229,0.99999611,13385468029
26771041697,0.99999616,13385469497
26771041787,0.99999617,13385469587
26771042537,0.99999620,13385470337
26771042843,0.99999621,13385470643
26771042981,0.99999621,13385470781
